Yi,Yj,khat,rhat
CON21-71-R2,HRP0166-R1,4119.71316114607,0.524301384679063
CON21-71-R2,HRP0174-R1,134590.408875002,0.617181561684291
CON21-71-R2,HRP0187-R1,3686.76852500472,0.608996094869199
CON21-71-R2,SP0101254202-R1,1317.58562866852,0.57610375221795
CON21-71-R2,SP0101254202-R2,117109.195360917,0.53526402895295
CON21-71-R2,SP0101254215-R1,131877.835569072,0.551336418106596
CON21-71-R2,SP0101254215-R2,102577.733246422,0.564119432373289
CON21-71-R2,SP0101254260-R1,3187.7228485195,0.572727879842563
CON21-71-R2,SP0101254260-R2,1125.5702301918,0.531641274885184
CON21-71-R2,SP0101254266-R1,3814.1738991361,0.554719400178911
CON21-71-R2,SP0101254266-R2,4378.42836363392,0.509285413709165
CON21-71-R2,SP0101254283-R1,72829.76780522,0.545378015511596
CON21-71-R2,SP0101254283-R2,79644.5439016969,0.534980380590232
CON21-71-R2,SP0101254289-R1,4978.99903844235,0.489122826870475
CON21-71-R2,SP0101254289-R2,107723.385452924,0.537552592368601
CON21-71-R2,SP0101254313-R1,111986.744020728,0.480315282771089
CON21-71-R2,SP0101254313-R2,111091.216276737,0.523490207960441
CON21-71-R2,SP0101254334-R2,113536.687915328,0.517327591880195
CON21-71-R2,SP0101254341-R1,4496.93262911923,0.514400065274054
CON21-71-R2,SP0101254341-R2,369.016534910223,0.475911596875107
CON21-71-R2,SP0101254347-R1,1283.68716600241,0.474439001040656
CON21-71-R2,SP0101254347-R2,4648.11401317565,0.477221708031479
CON21-71-R2,SP0101254356-R2,18872.5596233685,0.561801006025441
CON21-71-R2,SP0112286091-R1,4724.2005887434,0.511471177490663
CON21-71-R2,SP0112286091-R2,18387.5544655951,0.496772461571422
CON21-71-R2,SP0112286119-R1,123333.006877847,0.491307640483308
CON21-71-R2,SP0112286119-R2,77.4356813476697,0.482779086931259
CON21-71-R2,SP0112286144-R1,31635.5588842294,0.584769766928027
CON21-71-R2,SP0112286144-R2,2571.02059397752,0.531750742625335
CON21-71-R2,SP0112286163-R1,24.437719132568,0.434356500993999
CON21-71-R2,SP0112286163-R2,1709.98978516322,0.474145448730365
CON21-71-R2,SP0112286166-R1,1716.5498529521,0.572752786375479
CON21-71-R2,SP0112286166-R2,41064.1620144984,0.579466718327909
CON21-71-R2,SP0112286175-R1,140158.280954843,0.539428279908502
CON21-71-R2,SP0112286175-R2,442.597057506885,0.531995700369407
CON21-71-R2,SP0112286271-R1,65968.1084796051,0.472005751651799
CON21-71-R2,SP0112286283-R1,10187.3562265835,0.512945565050837
CON21-71-R2,SP0112286283-R2,5583.08882183654,0.52514688233731
CON21-71-R2,SP0112286288-R2,13723.2837747073,0.503492164973895
