hapid	total_reads	total_samples	strain	refid_PvP01	snv_dist_from_PvP01	indel_dist_from_PvP01	bimera
ASV419	798	35	PvP01	PVP01_1261200	0	0	FALSE
ASV420	798	28	N	FER2_1	1	0	FALSE
ASV421	796	3	N	pvpi3k_2	1	0	FALSE
ASV422	794	9	N	TLAP2	1	0	FALSE
ASV423	793	7	N	PVP01_1413100_2	1	0	FALSE
ASV424	792	13	N	RBP2a_2	1	0	FALSE
ASV425	791	3	N	PVP01_0504000	2	0	FALSE
ASV426	777	34	N	RBP2a_1	2	0	FALSE
ASV427	776	1	N	MSP1	3	0	FALSE
ASV428	773	12	N	pvmrp1_3	1	0	FALSE
ASV429	771	14	N	FCP	1	0	FALSE
ASV430	770	19	N	AMA1	1	0	FALSE
ASV431	768	5	N	PVP01_1233500	1	0	FALSE
ASV432	764	19	N	PVP01_0602200	1	0	FALSE
ASV433	758	22	N	PVP01_0838400	6	0	FALSE
ASV434	757	12	N	PVP01_0908400	1	0	FALSE
ASV435	749	20	PvP01	PVP01_0735100	0	0	FALSE
ASV436	748	15	N	pvpi3k_4	1	0	FALSE
ASV437	748	11	N	RON11	1	0	FALSE
ASV438	748	6	N	SPC25	2	0	FALSE
ASV439	747	17	N	PVP01_1406900	2	0	FALSE
ASV440	746	13	N	PVP01_1446900	4	0	FALSE
ASV441	746	17	N	MSP1P	1	0	FALSE
ASV442	745	23	N	PVP01_0710900	0	24	FALSE
ASV443	745	11	PvP01	PVP01_1444400	0	0	FALSE
ASV444	741	27	N	PVP01_1415900	2	0	FALSE
ASV445	741	2	N	PVP01_0530700	12	0	FALSE
ASV446	737	12	N	pvmrp2_2	3	0	FALSE
ASV447	733	20	N	CTRP	2	18	FALSE
ASV448	733	25	PvP01	RON11	0	0	FALSE
ASV449	724	18	N	PIP1	2	0	FALSE
ASV450	723	8	PvP01	PVP01_0707300	0	0	FALSE
ASV451	716	17	N	PVP01_0927200	4	0	FALSE
ASV452	713	10	N	PVP01_0306200	1	0	FALSE
ASV453	704	5	N	SNRPB2	3	0	FALSE
ASV454	692	7	N	PVP01_0116700	2	0	FALSE
ASV455	691	6	N	PVP01_1004100	1	0	FALSE
ASV456	690	11	N	PVP01_0302300	1	0	FALSE
ASV457	690	9	N	PVP01_1256600	1	0	FALSE
ASV458	687	22	N	FRM1_1	1	0	FALSE
ASV459	677	17	N	PVP01_0710900	0	12	FALSE
ASV460	677	8	N	PVP01_1444400	3	0	FALSE
ASV461	673	30	PvP01	FER2_1	0	0	FALSE
ASV462	669	16	PvP01	SPC25	0	0	FALSE
ASV463	668	2	N	PVP01_1344700	1	0	FALSE
ASV464	666	5	N	PVP01_1301600_2	1	0	FALSE
ASV465	660	12	N	SufD	10	0	FALSE
ASV466	655	4	N	pvpi3k_2	0	15	FALSE
ASV467	644	9	N	BDP6	1	0	FALSE
ASV468	629	13	N	PVP01_1469700	2	0	FALSE
ASV469	628	12	N	PABP3	1	0	FALSE
ASV470	625	7	N	FRM1_2	2	0	FALSE
ASV471	622	6	N	pvpi3k_14	34	2	FALSE
ASV472	620	10	N	PWP1	3	0	FALSE
ASV473	611	11	N	PVP01_1339900	1	0	FALSE
ASV474	605	13	N	PyKII	1	0	FALSE
ASV475	605	8	N	PVP01_1316900	1	0	FALSE
ASV476	598	12	N	PIP1	1	0	FALSE
ASV477	596	10	N	HDA1	2	0	FALSE
ASV478	592	6	N	PVP01_0302300	3	0	FALSE
ASV479	590	6	N	TRAG38	2	0	FALSE
ASV480	588	9	N	LipB	1	0	FALSE
ASV481	585	12	N	PVP01_0927200	4	0	FALSE
ASV482	583	13	N	PWP1	3	0	FALSE
ASV483	579	13	PvP01	PyKII	0	0	FALSE
ASV484	578	10	N	MSP5	4	0	FALSE
ASV485	573	12	PvP01	PVP01_1316900	0	0	FALSE
ASV486	566	11	N	PVP01_1226900	1	0	FALSE
ASV487	563	8	N	PVP01_1323700	6	0	FALSE
ASV488	563	6	N	RBP2b_2	3	0	FALSE
ASV489	562	18	N	TERT	2	0	FALSE
ASV490	560	26	N	CAPH	1	0	FALSE
ASV491	559	12	PvP01	ABCI3	0	0	FALSE
ASV492	557	14	N	P113	3	0	FALSE
ASV493	557	7	N	PVP01_1443400	4	0	FALSE
ASV494	553	4	N	PKG	1	0	FALSE
ASV495	552	19	N	PSOP13	1	0	FALSE
ASV496	541	8	N	MATE	1	0	FALSE
ASV497	537	7	N	PVP01_0302700	1	0	FALSE
ASV498	536	7	N	DBP_1	1	0	FALSE
ASV499	533	10	N	PSOP13	75	1	FALSE
ASV500	530	27	N	EIF3K_1	2	1	FALSE
