Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate,Total_ReadDepth,Mean_ReadDepth,SD_ReadDepth,Median_ReadDepth,IQR_ReadDepth,q25_ReadDepth,q75_ReadDepth,SamplePlate_ID,SamplePlate_Well_Position,Parasite_qPCR,Cq,Parasite_Concentration
G4G2328,191,Samples,Run2,Guyana,Guyana,0.583333333333333,4389,39.1875,69.44250733034,18.5,24,12,36,NA,NA,NA,NA,NA
G4G2331,142,Samples,Run2,Guyana,Guyana,0.791666666666667,11222,73.828947368421,253.127399704188,27,42.75,16,58.75,NA,NA,NA,NA,NA
G4G2346,188,Samples,Run2,Guyana,Guyana,0.723958333333333,10173,73.1870503597122,110.442034658446,39,61,17.5,78.5,NA,NA,NA,NA,NA
G4G2370,183,Samples,Run2,Guyana,Guyana,0.885416666666667,24811,145.947058823529,370.743300430073,61.5,118.25,21,139.25,NA,NA,NA,NA,NA
G4G2379,182,Samples,Run2,Guyana,Guyana,0.875,24971,148.636904761905,321.340035275099,52,119.5,21,140.5,NA,NA,NA,NA,NA
G4G2390,180,Samples,Run2,Guyana,Guyana,0.942708333333333,38895,214.889502762431,484.428367540635,88,185,33,218,NA,NA,NA,NA,NA
G4G2419,201,Samples,Run2,Guyana,Guyana,0.828125,17273,108.635220125786,277.834424359702,41,80.5,17,97.5,NA,NA,NA,NA,NA
G4G2420,200,Samples,Run2,Guyana,Guyana,0.875,18970,112.916666666667,258.3528297324,42.5,86.25,17,103.25,NA,NA,NA,NA,NA
G4G2423,280,Samples,Run2,Guyana,Guyana,0.515625,3940,39.7979797979798,70.6244710723166,17,27,10,37,NA,NA,NA,NA,NA
G4G2428,281,Samples,Run2,Guyana,Guyana,0.583333333333333,4584,40.9285714285714,62.1795879553826,24,26,14,40,NA,NA,NA,NA,NA
G4G2432,193,Samples,Run2,Guyana,Guyana,0.979166666666667,54307,288.867021276596,557.938440222316,144,248,50,298,NA,NA,NA,NA,NA
G4G2463,22,Samples,Run2,Guyana,Guyana,0.942708333333333,24386,134.729281767956,397.792741504128,65,108,25,133,Gates 056,B10,P. vivax,17.7618953501623,1204.5877681119
G4G2466,107,Samples,Run2,Guyana,Guyana,0.635416666666667,8840,72.4590163934426,107.869461018919,42.5,67.5,16,83.5,NA,NA,NA,NA,NA
G4G2470,108,Samples,Run2,Guyana,Guyana,0.8125,23312,149.435897435897,426.245396221278,38.5,89,14.75,103.75,NA,NA,NA,NA,NA
G4G2473,277,Samples,Run2,Guyana,Guyana,0.729166666666667,17945,128.178571428571,494.876559971732,42.5,67.75,16.5,84.25,NA,NA,NA,NA,NA
G4G2475,278,Samples,Run2,Guyana,Guyana,0.869791666666667,16884,101.101796407186,172.626856959575,53,85,21,106,NA,NA,NA,NA,NA
G4G2484,224,Samples,Run2,Guyana,Guyana,0.755208333333333,11058,76.2620689655172,154.637300583659,34,54,20,74,NA,NA,NA,NA,NA
G4G2494,48,Samples,Run2,Guyana,Guyana,0.651041666666667,7634,61.072,115.659691029469,26,42,14,56,NA,NA,NA,NA,NA
G4G2502,51,Samples,Run2,Guyana,Guyana,0.65625,11137,88.3888888888889,233.634927944337,30,51.25,17,68.25,NA,NA,NA,NA,NA
G4G2505,57,Samples,Run2,Guyana,Guyana,0.65625,8002,63.5079365079365,179.867050724995,24.5,34,15,49,NA,NA,NA,NA,NA
G4G2514,231,Samples,Run2,Guyana,Guyana,0.692708333333333,13886,104.406015037594,294.254142824882,37,76,17,93,NA,NA,NA,NA,NA
G4G2516,230,Samples,Run2,Guyana,Guyana,0.75,10819,75.1319444444444,177.371690905438,34,64,14.75,78.75,NA,NA,NA,NA,NA
G4G2517,283,Samples,Run2,Guyana,Guyana,0.838541666666667,13990,86.8944099378882,195.793309464486,44,65,15,80,NA,NA,NA,NA,NA
G4G2518,229,Samples,Run2,Guyana,Guyana,0.96875,57868,311.118279569892,742.604151937532,143,275,55,330,NA,NA,NA,NA,NA
G4G2520,225,Samples,Run2,Guyana,Guyana,0.630208333333333,7672,63.404958677686,133.132363865966,27,48,13,61,NA,NA,NA,NA,NA
G4G2526,203,Samples,Run2,Guyana,Guyana,0.984375,97023,513.349206349206,1256.74388238691,250,429,87,516,NA,NA,NA,NA,NA
G4G2527,202,Samples,Run2,Guyana,Guyana,0.984375,101316,536.063492063492,1903.1912047676,164,292,54,346,NA,NA,NA,NA,NA
G4G2528,132,Samples,Run2,Guyana,Guyana,0.833333333333333,11496,71.85,174.258183352773,32,49.75,17,66.75,NA,NA,NA,NA,NA
G4G2532,226,Samples,Run2,Guyana,Guyana,0.614583333333333,5495,46.5677966101695,89.9383909559936,21,27.75,13,40.75,NA,NA,NA,NA,NA
G4G2533,227,Samples,Run2,Guyana,Guyana,0.588541666666667,5687,50.3274336283186,100.005039379976,26,41,12,53,NA,NA,NA,NA,NA
G4G2541,146,Samples,Run2,Guyana,Guyana,0.635416666666667,7333,60.1065573770492,99.5437365876705,26.5,41.5,12.25,53.75,NA,NA,NA,NA,NA
G4G2544,147,Samples,Run2,Guyana,Guyana,0.510416666666667,3775,38.5204081632653,65.9767577932096,23,27.25,10.25,37.5,NA,NA,NA,NA,NA
G4G2545,86,Samples,Run2,Guyana,Guyana,0.838541666666667,21171,131.496894409938,294.485464926191,55,102,22,124,NA,NA,NA,NA,NA
G4G2549,87,Samples,Run2,Guyana,Guyana,0.817708333333333,14509,92.4140127388535,187.268559539844,40,61,19,80,NA,NA,NA,NA,NA
G4G2556,77,Samples,Run2,Guyana,Guyana,0.916666666666667,26679,151.585227272727,264.324418866458,64.5,123.75,27.75,151.5,NA,NA,NA,NA,NA
G4G2564,131,Samples,Run2,Guyana,Guyana,0.692708333333333,8110,60.9774436090226,148.95374847356,23,37,12,49,NA,NA,NA,NA,NA
G4G2569,145,Samples,Run2,Guyana,Guyana,0.833333333333333,20699,129.36875,259.786042151115,54,100.25,19,119.25,NA,NA,NA,NA,NA
G4G2573,89,Samples,Run2,Guyana,Guyana,0.984375,102684,543.301587301587,1487.30625738015,230,472,80,552,NA,NA,NA,NA,NA
G4G2589,130,Samples,Run2,Guyana,Guyana,0.864583333333333,14187,85.4638554216867,151.055504210599,47,68.25,18,86.25,NA,NA,NA,NA,NA
G4G2592,263,Samples,Run2,Guyana,Guyana,0.59375,4222,37.0350877192982,59.8852782039748,18,23,12,35,NA,NA,NA,NA,NA
G4G2597,265,Samples,Run2,Guyana,Guyana,0.869791666666667,21806,130.574850299401,306.974831337238,55,82,22.5,104.5,NA,NA,NA,NA,NA
G4G2603,249,Samples,Run2,Guyana,Guyana,0.630208333333333,5819,48.0909090909091,115.121168050595,20,27,13,40,NA,NA,NA,NA,NA
G4G2610,246,Samples,Run2,Guyana,Guyana,0.770833333333333,11240,75.945945945946,155.47367971941,36,52.25,15,67.25,NA,NA,NA,NA,NA
G4G2628,286,Samples,Run2,Guyana,Guyana,0.572916666666667,5449,49.5363636363636,68.9221974965719,27,38.5,14,52.5,NA,NA,NA,NA,NA
G4G3225,386,Samples,Run2,Guyana,Guyana,0.630208333333333,20221,167.115702479339,514.718712665514,47,97,21,118,NA,NA,NA,NA,NA
G7B0472,143,Samples,Run2,Guyana,Guyana,0.984375,44398,234.910052910053,371.604753643325,127,219,54,273,NA,NA,NA,NA,NA
