loci,loci_ampl_rate_Total,loci_ampl_rate_Honduras,loci_ampl_rate_Guyana,loci_ampl_rate_Venezuela,loci_ampl_rate_Colombia
PVP01_0624000,0.657676348547718,0.205882352941177,0.739583333333333,0.891304347826087,0.91304347826087
PVP01_0624400,0.367219917012448,0.107843137254902,0.350694444444444,0.717391304347826,0.695652173913043
CuTP,0,0,0,0,0
PVP01_0707300,0.114107883817427,0.225490196078431,0.0763888888888888,0.173913043478261,0.0434782608695652
SPM1,0.329875518672199,0.215686274509804,0.274305555555556,0.717391304347826,0.543478260869565
PVP01_0710900,0.228215767634855,0.235294117647059,0.152777777777778,0.478260869565217,0.434782608695652
MOP,0,0,0,0,0
GAP50,0.684647302904564,0.441176470588235,0.704861111111111,0.847826086956522,0.934782608695652
RCC-PIP,0.20746887966805,0.127450980392157,0.145833333333333,0.521739130434783,0.456521739130435
pBAS,0.649377593360996,0.53921568627451,0.638888888888889,0.760869565217391,0.847826086956522
ATAT,0.595435684647303,0.392156862745098,0.600694444444444,0.782608695652174,0.826086956521739
MSP1P,0.221991701244813,0.186274509803922,0.145833333333333,0.456521739130435,0.543478260869565
MSP1,0.265560165975104,0.0882352941176471,0.211805555555556,0.630434782608696,0.630434782608696
MAM3,0.533195020746888,0.235294117647059,0.541666666666667,0.782608695652174,0.891304347826087
PVP01_0733600,0.273858921161826,0,0.25,0.652173913043478,0.652173913043478
SNRPB2,0.390041493775934,0.137254901960784,0.361111111111111,0.717391304347826,0.804347826086957
PVP01_0735100,0.580912863070539,0.343137254901961,0.642361111111111,0.739130434782609,0.565217391304348
RBP2b_1,0.603734439834025,0.127450980392157,0.684027777777778,0.869565217391304,0.891304347826087
RBP2b_2,0.603734439834025,0.166666666666667,0.670138888888889,0.869565217391304,0.891304347826087
RBP2b_3,0.564315352697095,0.186274509803922,0.59375,0.869565217391304,0.91304347826087
HDA2,0.0145228215767634,0,0.00694444444444442,0.0434782608695652,0.0652173913043478
RIPR,0.599585062240664,0.343137254901961,0.611111111111111,0.847826086956522,0.847826086956522
SPC25,0.489626556016598,0.196078431372549,0.493055555555556,0.826086956521739,0.782608695652174
ABCI3,0.103734439834025,0.480392156862745,0.00347222222222221,0,0
PVP01_0820800,0,0,0,0,0
B9,0.240663900414938,0.274509803921569,0.142361111111111,0.521739130434783,0.5
CTRP,0.155601659751037,0.225490196078431,0.0659722222222222,0.391304347826087,0.326086956521739
EIF3K_1,0.271784232365145,0.294117647058823,0.197916666666667,0.58695652173913,0.369565217391304
EIF3K_2,0.363070539419087,0.303921568627451,0.302083333333333,0.717391304347826,0.521739130434783
PVP01_0834800,0.659751037344398,0.392156862745098,0.684027777777778,0.869565217391304,0.891304347826087
NSF,0.470954356846473,0.166666666666667,0.461805555555556,0.847826086956522,0.826086956521739
PVP01_0838300,0.83195020746888,0.480392156862745,0.920138888888889,0.956521739130435,0.934782608695652
PVP01_0838400,0.485477178423237,0.284313725490196,0.486111111111111,0.58695652173913,0.826086956521739
SufD,0.398340248962656,0.254901960784314,0.336805555555556,0.804347826086957,0.695652173913043
PVP01_0904300,0,0,0,0,0
SYN13,0.423236514522822,0.401960784313726,0.427083333333333,0.478260869565217,0.391304347826087
PVP01_0908400,0.504149377593361,0.156862745098039,0.534722222222222,0.739130434782609,0.847826086956522
PCD,0.213692946058091,0.215686274509804,0.131944444444444,0.5,0.434782608695652
PVP01_0912400,0.224066390041494,0.205882352941177,0.131944444444444,0.630434782608696,0.434782608695652
MLC_B,0.294605809128631,0.294117647058823,0.197916666666667,0.673913043478261,0.521739130434783
GCN20,0.628630705394191,0.303921568627451,0.659722222222222,0.869565217391304,0.91304347826087
PVP01_0927200,0.12448132780083,0.0784313725490197,0.0590277777777778,0.41304347826087,0.347826086956522
ATG23,0.118257261410788,0.323529411764706,0.0416666666666666,0.130434782608696,0.130434782608696
mHCF101,0,0,0,0,0
PVP01_0931600,0.197095435684647,0.176470588235294,0.128472222222222,0.434782608695652,0.434782608695652
PVP01_0933300,0.489626556016598,0.333333333333333,0.447916666666667,0.739130434782609,0.847826086956522
AMA1,0.0663900414937759,0.107843137254902,0.0243055555555556,0.260869565217391,0.0434782608695652
RPA2,0.321576763485477,0.294117647058823,0.25,0.543478260869565,0.608695652173913
ApiAP2_G5,0.479253112033195,0.205882352941177,0.475694444444444,0.782608695652174,0.804347826086957
PVP01_0942500,0.134854771784232,0.284313725490196,0.0347222222222222,0.41304347826087,0.152173913043478
ORP1,0.236514522821577,0.0980392156862745,0.184027777777778,0.543478260869565,0.565217391304348
SLARP,0.632780082987552,0.401960784313726,0.638888888888889,0.826086956521739,0.91304347826087
TRAG16_1,0.605809128630705,0.225490196078431,0.645833333333333,0.869565217391304,0.934782608695652
PVP01_1002800,0.136929460580913,0.0196078431372549,0.0972222222222222,0.58695652173913,0.195652173913043
FRM1_1,0.634854771784232,0.392156862745098,0.645833333333333,0.826086956521739,0.91304347826087
FRM1_2,0.761410788381743,0.53921568627451,0.788194444444444,0.91304347826087,0.934782608695652
PPT,0.350622406639004,0.156862745098039,0.302083333333333,0.760869565217391,0.673913043478261
PVP01_1004100,0,0,0,0,0
PVP01_1004400,0.103734439834025,0.284313725490196,0.0173611111111112,0.282608695652174,0.0652173913043478
