Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate
G4G2065,84,Samples,Run2,Guyana,Guyana,0.145833333333333
G4G2066,78,Samples,Run2,Guyana,Guyana,0.0520833333333334
G4G2075,79,Samples,Run2,Guyana,Guyana,0.104166666666667
G4G2076,80,Samples,Run2,Guyana,Guyana,0.260416666666667
G4G2077,82,Samples,Run2,Guyana,Guyana,0.286458333333333
G4G2078,47,Samples,Run2,Guyana,Guyana,0.046875
G4G2079,83,Samples,Run2,Guyana,Guyana,0.463541666666667
G4G2080,64,Samples,Run2,Guyana,Guyana,0
G4G2088,54,Samples,Run2,Guyana,Guyana,0.0572916666666666
G4G2090,53,Samples,Run2,Guyana,Guyana,0.244791666666667
G4G2095,2,Samples,Run2,Guyana,Guyana,0.671875
G4G2096,12,Samples,Run2,Guyana,Guyana,0.354166666666667
G4G2103,172,Samples,Run2,Guyana,Guyana,0.619791666666667
G4G2109,209,Samples,Run2,Guyana,Guyana,0.609375
G4G2110,122,Samples,Run2,Guyana,Guyana,0.927083333333333
G4G2111,214,Samples,Run2,Guyana,Guyana,0.71875
G4G2113,215,Samples,Run2,Guyana,Guyana,0.1875
G4G2115,216,Samples,Run2,Guyana,Guyana,0.994791666666667
G4G2123,207,Samples,Run2,Guyana,Guyana,0.5625
G4G2128,174,Samples,Run2,Guyana,Guyana,0.619791666666667
G4G2129,212,Samples,Run2,Guyana,Guyana,0.979166666666667
G4G2132,275,Samples,Run2,Guyana,Guyana,0.609375
G4G2135,210,Samples,Run2,Guyana,Guyana,0.802083333333333
G4G2136,211,Samples,Run2,Guyana,Guyana,0.0104166666666666
G4G2138,173,Samples,Run2,Guyana,Guyana,0.177083333333333
G4G2139,208,Samples,Run2,Guyana,Guyana,0.963541666666667
G4G2140,171,Samples,Run2,Guyana,Guyana,0.322916666666667
G4G2146,92,Samples,Run2,Guyana,Guyana,0
G4G2148,5,Samples,Run2,Guyana,Guyana,0.0104166666666666
G4G2149,4,Samples,Run2,Guyana,Guyana,0.739583333333333
G4G2157,1,Samples,Run2,Guyana,Guyana,0.776041666666667
G4G2170,3,Samples,Run2,Guyana,Guyana,0.947916666666667
G4G2171,120,Samples,Run2,Guyana,Guyana,0.984375
G4G2177,121,Samples,Run2,Guyana,Guyana,0.65625
G4G2206,219,Samples,Run2,Guyana,Guyana,0.947916666666667
G4G2257,178,Samples,Run2,Guyana,Guyana,0.744791666666667
G4G2258,176,Samples,Run2,Guyana,Guyana,0.00520833333333337
G4G2260,175,Samples,Run2,Guyana,Guyana,0.03125
G4G2269,218,Samples,Run2,Guyana,Guyana,0.651041666666667
G4G2273,221,Samples,Run2,Guyana,Guyana,0.671875
G4G2277,220,Samples,Run2,Guyana,Guyana,0.171875
G4G2301,276,Samples,Run2,Guyana,Guyana,0.239583333333333
G4G2304,222,Samples,Run2,Guyana,Guyana,0.651041666666667
G4G2308,213,Samples,Run2,Guyana,Guyana,0.53125
G4G2317,204,Samples,Run2,Guyana,Guyana,0.182291666666667
G4G2319,205,Samples,Run2,Guyana,Guyana,0.463541666666667
G4G2321,190,Samples,Run2,Guyana,Guyana,0.0260416666666666
G4G2323,127,Samples,Run2,Guyana,Guyana,0.09375
G4G2326,125,Samples,Run2,Guyana,Guyana,0.4375
