Sample_id,Parasite_Concentration,Parasite,Threshold,AmpRate,log_parasitemia,log_OR_AmplRate
PF00229,225.366695306646,P. vivax,5,0.0441767068273092,7.81613051954364,-4.3037807481771
PF00229,225.366695306646,P. vivax,10,0.0200803212851406,7.81613051954364,-5.33985000288462
PF00229,225.366695306646,P. vivax,20,0.00803212851405622,7.81613051954364,-6.35755200461808
PF00229,225.366695306646,P. vivax,50,0,7.81613051954364,-7.95419631038687
PF00229,225.366695306646,P. vivax,100,0,7.81613051954364,-7.95419631038687
PF00230,133.636181509755,P. vivax,1,0.1285140562249,7.06216685490502,-2.71049338280502
PF00230,133.636181509755,P. vivax,5,0.108433734939759,7.06216685490502,-2.98054763733383
PF00230,133.636181509755,P. vivax,10,0.0441767068273092,7.06216685490502,-4.3037807481771
PF00230,133.636181509755,P. vivax,20,0.0240963855421687,7.06216685490502,-5.11150831521699
PF00230,133.636181509755,P. vivax,50,0.00803212851405622,7.06216685490502,-6.35755200461808
PF00230,133.636181509755,P. vivax,100,0.00803212851405622,7.06216685490502,-6.35755200461808
PF00231,32.2931850374759,P. vivax,1,0.0160642570281124,5.01315783411001,-5.60880924267552
PF00231,32.2931850374759,P. vivax,5,0.0120481927710843,5.01315783411001,-5.93663793900257
PF00231,32.2931850374759,P. vivax,10,0.00803212851405622,5.01315783411001,-6.35755200461808
PF00231,32.2931850374759,P. vivax,20,0.00401606425702811,5.01315783411001,-6.94836723158468
PF00231,32.2931850374759,P. vivax,50,0,5.01315783411001,-7.95419631038687
PF00231,32.2931850374759,P. vivax,100,0,5.01315783411001,-7.95419631038687
PF00327,3.47298965018542,P. vivax,1,0.100401606425703,1.79617811136832,-3.10046018177921
PF00327,3.47298965018542,P. vivax,5,0.0923694779116466,1.79617811136832,-3.22881869049588
PF00327,3.47298965018542,P. vivax,10,0.0682730923694779,1.79617811136832,-3.68182403997375
PF00327,3.47298965018542,P. vivax,20,0.0481927710843374,1.79617811136832,-4.18220333122075
PF00327,3.47298965018542,P. vivax,50,0.0200803212851406,1.79617811136832,-5.33985000288462
PF00327,3.47298965018542,P. vivax,100,0.0120481927710843,1.79617811136832,-5.93663793900257
