Sample_id,Date_of_Collection,Month_of_Collection,Quarter_of_Collection,Year_of_Collection,Subnational_level0,Subnational_level1,Subnational_level2,Longitude,Latitude
ID00234,8/17/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00235,8/25/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00236,8/26/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00237,8/26/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00238,8/29/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00239,8/27/20,2020-08,2020-Q3,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00240,8/27/20,2020-08,2020-Q3,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00241,2/17/21,2021-02,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00242,10/1/20,2020-10,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00243,10/2/20,2020-10,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00244,10/26/20,2020-10,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00245,11/13/20,2020-11,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00246,11/18/20,2020-11,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00247,2/18/21,2021-02,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00248,11/18/20,2020-11,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00249,11/18/20,2020-11,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00250,11/18/20,2020-11,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00251,12/2/20,2020-12,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00252,12/21/20,2020-12,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00253,12/22/20,2020-12,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00254,12/28/20,2020-12,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00255,12/28/20,2020-12,2020-Q4,2020,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00256,1/12/21,2021-01,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00257,1/18/21,2021-01,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00258,1/18/21,2021-01,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00259,1/18/21,2021-01,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00260,1/25/21,2021-01,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00261,1/28/21,2021-01,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00262,2/8/21,2021-02,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00263,2/8/21,2021-02,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00264,2/11/21,2021-02,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00265,3/24/21,2021-03,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00266,3/26/21,2021-03,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00267,3/31/21,2021-03,2021-Q1,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00268,4/12/21,2021-04,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00269,4/20/21,2021-04,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00270,4/20/21,2021-04,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00271,4/21/21,2021-04,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00272,5/3/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00273,5/3/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00274,5/10/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00275,5/11/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00276,5/11/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00277,5/12/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00278,5/12/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00279,5/20/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00280,5/24/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00281,5/24/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00282,5/25/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00283,5/27/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00284,5/27/21,2021-05,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00285,6/1/21,2021-06,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00286,6/2/21,2021-06,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00287,6/2/21,2021-06,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00288,6/2/21,2021-06,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00289,6/3/21,2021-06,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00290,6/4/21,2021-06,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00291,6/6/21,2021-06,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00292,6/10/21,2021-06,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00293,6/10/21,2021-06,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00294,6/15/21,2021-06,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00295,6/15/21,2021-06,2021-Q2,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00296,7/2/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00297,7/2/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00298,7/2/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00299,7/6/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00300,7/6/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00301,7/6/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00302,7/6/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00303,7/7/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00304,7/7/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00305,7/7/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00306,7/7/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00307,7/7/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00308,7/8/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00309,7/8/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00310,7/9/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00311,7/9/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00312,7/19/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00313,7/19/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00314,7/21/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00315,7/21/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00316,7/21/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00317,7/21/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00318,7/14/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00319,7/14/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00320,7/14/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00321,7/14/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00322,7/14/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00323,7/14/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00324,7/30/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00325,7/30/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00326,7/30/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00327,7/30/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00328,7/31/21,2021-07,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00329,8/6/21,2021-08,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
ID00330,8/13/21,2021-08,2021-Q3,2021,Region 1,Department 1,Municipality 1,-76.65806,5.69222
